ID,name,state,climreg,X,Y,pointList
1200203,Cruzeiro do Sul,AC,AF,-72.75451186,-7.971952845,"ee.Feature(ee.Geometry.Point([-72.75451186,-7.971952845],'EPSG:4674'),  {'point_id': '1200203'}),"
1200328,Jordão,AC,AF,-71.90592035,-9.242461313,"ee.Feature(ee.Geometry.Point([-71.90592035,-9.242461313],'EPSG:4674'),  {'point_id': '1200328'}),"
1200336,Mâncio Lima,AC,AF,-73.43912524,-7.504477199,"ee.Feature(ee.Geometry.Point([-73.43912524,-7.504477199],'EPSG:4674'),  {'point_id': '1200336'}),"
1200351,Marechal Thaumaturgo,AC,AF,-72.55922511,-9.096279052,"ee.Feature(ee.Geometry.Point([-72.55922511,-9.096279052],'EPSG:4674'),  {'point_id': '1200351'}),"
1200393,Porto Walter,AC,AF,-72.73353955,-8.491958408,"ee.Feature(ee.Geometry.Point([-72.73353955,-8.491958408],'EPSG:4674'),  {'point_id': '1200393'}),"
1200427,Rodrigues Alves,AC,AF,-73.22338896,-7.843929566,"ee.Feature(ee.Geometry.Point([-73.22338896,-7.843929566],'EPSG:4674'),  {'point_id': '1200427'}),"
1200609,Tarauacá,AC,AF,-71.44491648,-8.239473585,"ee.Feature(ee.Geometry.Point([-71.44491648,-8.239473585],'EPSG:4674'),  {'point_id': '1200609'}),"
1300201,Atalaia do Norte,AM,AF,-71.74023715,-5.711519471,"ee.Feature(ee.Geometry.Point([-71.74023715,-5.711519471],'EPSG:4674'),  {'point_id': '1300201'}),"
1301654,Guajará,AM,AF,-72.84477656,-7.229926338,"ee.Feature(ee.Geometry.Point([-72.84477656,-7.229926338],'EPSG:4674'),  {'point_id': '1301654'}),"
1301803,Ipixuna,AM,AF,-71.41262571,-7.180520151,"ee.Feature(ee.Geometry.Point([-71.41262571,-7.180520151],'EPSG:4674'),  {'point_id': '1301803'}),"
1200302,Feijó,AC,AF,-70.74307933,-8.924088105,"ee.Feature(ee.Geometry.Point([-70.74307933,-8.924088105],'EPSG:4674'),  {'point_id': '1200302'}),"
1200344,Manoel Urbano,AC,AF,-69.85244205,-9.380395837,"ee.Feature(ee.Geometry.Point([-69.85244205,-9.380395837],'EPSG:4674'),  {'point_id': '1200344'}),"
1200435,Santa Rosa do Purus,AC,AF,-70.3955185,-9.410539428,"ee.Feature(ee.Geometry.Point([-70.3955185,-9.410539428],'EPSG:4674'),  {'point_id': '1200435'}),"
1301407,Eirunepé,AM,AF,-70.21776655,-7.02203172,"ee.Feature(ee.Geometry.Point([-70.21776655,-7.02203172],'EPSG:4674'),  {'point_id': '1301407'}),"
1301506,Envira,AM,AF,-70.0549752,-7.573370086,"ee.Feature(ee.Geometry.Point([-70.0549752,-7.573370086],'EPSG:4674'),  {'point_id': '1301506'}),"
1303502,Pauini,AM,AF,-68.19717146,-7.758367699,"ee.Feature(ee.Geometry.Point([-68.19717146,-7.758367699],'EPSG:4674'),  {'point_id': '1303502'}),"
1200054,Assis Brasil,AC,AF,-70.00554362,-10.77985795,"ee.Feature(ee.Geometry.Point([-70.00554362,-10.77985795],'EPSG:4674'),  {'point_id': '1200054'}),"
1200138,Bujari,AC,AF,-68.17375132,-9.614037446,"ee.Feature(ee.Geometry.Point([-68.17375132,-9.614037446],'EPSG:4674'),  {'point_id': '1200138'}),"
1200401,Rio Branco,AC,AF,-68.37092303,-10.06627836,"ee.Feature(ee.Geometry.Point([-68.37092303,-10.06627836],'EPSG:4674'),  {'point_id': '1200401'}),"
1200500,Sena Madureira,AC,AF,-69.38081164,-9.77116166,"ee.Feature(ee.Geometry.Point([-69.38081164,-9.77116166],'EPSG:4674'),  {'point_id': '1200500'}),"
1300706,Boca do Acre,AM,AF,-68.04806201,-8.773161088,"ee.Feature(ee.Geometry.Point([-68.04806201,-8.773161088],'EPSG:4674'),  {'point_id': '1300706'}),"
1200252,Epitaciolândia,AC,AF,-68.61824921,-10.88915709,"ee.Feature(ee.Geometry.Point([-68.61824921,-10.88915709],'EPSG:4674'),  {'point_id': '1200252'}),"
1300409,Barcelos,AM,AF,-63.43471548,-0.465066121,"ee.Feature(ee.Geometry.Point([-63.43471548,-0.465066121],'EPSG:4674'),  {'point_id': '1300409'}),"
1300839,Caapiranga,AM,AF,-61.87779481,-3.08204243,"ee.Feature(ee.Geometry.Point([-61.87779481,-3.08204243],'EPSG:4674'),  {'point_id': '1300839'}),"
1301308,Codajás,AM,AF,-62.97379711,-3.288985769,"ee.Feature(ee.Geometry.Point([-62.97379711,-3.288985769],'EPSG:4674'),  {'point_id': '1301308'}),"
1301852,Iranduba,AM,AF,-60.47976077,-3.095248796,"ee.Feature(ee.Geometry.Point([-60.47976077,-3.095248796],'EPSG:4674'),  {'point_id': '1301852'}),"
