state,year,pop_est,observed
AC,2006,686652,TRUE
AL,2006,3050652,TRUE
AM,2006,3311026,TRUE
AP,2006,615715,TRUE
BA,2006,13950146,TRUE
CE,2006,8217085,TRUE
DF,2006,2383784,TRUE
ES,2006,3464285,TRUE
GO,2006,5730753,TRUE
MA,2006,6184538,TRUE
MG,2006,19479356,TRUE
MS,2006,2297981,TRUE
MT,2006,2856999,TRUE
PA,2006,7110465,TRUE
PB,2006,3623215,TRUE
PE,2006,8502603,TRUE
PI,2006,3036290,TRUE
PR,2006,10387378,TRUE
RJ,2006,15561720,TRUE
RN,2006,3043760,TRUE
RO,2006,1562417,TRUE
RR,2006,403344,TRUE
RS,2006,10963219,TRUE
SC,2006,5958266,TRUE
SE,2006,2000738,TRUE
SP,2006,41055734,TRUE
TO,2006,1332441,TRUE
AC,2007,683362,FALSE
AL,2007,3089104,FALSE
AM,2007,3326061,FALSE
AP,2007,614440,FALSE
BA,2007,14226360,FALSE
CE,2007,8333806,FALSE
DF,2007,2470471,FALSE
ES,2007,3458966,FALSE
GO,2007,5787874,FALSE
MA,2007,6245038,FALSE
MG,2007,19664714,FALSE
MS,2007,2317020,FALSE
MT,2007,2907366,FALSE
PA,2007,7215979,FALSE
PB,2007,3682910,FALSE
PE,2007,8618398,FALSE
PI,2007,3077994,FALSE
PR,2007,10488774,FALSE
RJ,2007,15717041,FALSE
RN,2007,3075095,FALSE
RO,2007,1527992,FALSE
RR,2007,408064,FALSE
RS,2007,10909216,FALSE
SC,2007,6005426,FALSE
SE,2007,2000056,FALSE
SP,2007,41033684,FALSE
TO,2007,1306475,FALSE
AC,2008,680073,TRUE
AL,2008,3127557,TRUE
AM,2008,3341096,TRUE
AP,2008,613164,TRUE
BA,2008,14502575,TRUE
CE,2008,8450527,TRUE
DF,2008,2557158,TRUE
ES,2008,3453648,TRUE
GO,2008,5844996,TRUE
MA,2008,6305539,TRUE
MG,2008,19850072,TRUE
MS,2008,2336058,TRUE
MT,2008,2957732,TRUE
PA,2008,7321493,TRUE
PB,2008,3742606,TRUE
PE,2008,8734194,TRUE
PI,2008,3119697,TRUE
PR,2008,10590169,TRUE
RJ,2008,15872362,TRUE
RN,2008,3106430,TRUE
RO,2008,1493566,TRUE
RR,2008,412783,TRUE
RS,2008,10855214,TRUE
SC,2008,6052587,TRUE
SE,2008,1999374,TRUE
SP,2008,41011635,TRUE
TO,2008,1280509,TRUE
AC,2009,691132,TRUE
AL,2009,3156108,TRUE
AM,2009,3393369,TRUE
AP,2009,626609,TRUE
BA,2009,14637364,TRUE
CE,2009,8547809,TRUE
DF,2009,2606885,TRUE
ES,2009,3487199,TRUE
GO,2009,5926300,TRUE
MA,2009,6367138,TRUE
MG,2009,20033665,TRUE
MS,2009,2360498,TRUE
MT,2009,3001692,TRUE
PA,2009,7457119,TRUE
PB,2009,3769977,TRUE
PE,2009,8810256,TRUE
PI,2009,3145325,TRUE
PR,2009,10686247,TRUE
RJ,2009,16010429,TRUE
RN,2009,3137541,TRUE
RO,2009,1503928,TRUE
RR,2009,421499,TRUE
RS,2009,10914128,TRUE
SC,2009,6118743,TRUE
SE,2009,2019679,TRUE
SP,2009,41384039,TRUE
TO,2009,1292051,TRUE
AC,2010,718754,FALSE
AL,2010,3149723,FALSE
AM,2010,3465864,FALSE
AP,2010,655455,FALSE
BA,2010,14367348,FALSE
CE,2010,8538934,FALSE
DF,2010,2608441,FALSE
ES,2010,3517106,FALSE
GO,2010,6003444,FALSE
MA,2010,6506402,FALSE
MG,2010,19880958,FALSE
MS,2010,2419001,FALSE
MT,2010,3038777,FALSE
PA,2010,7572825,FALSE
PB,2010,3780588,FALSE
PE,2010,8837530,FALSE
PI,2010,3142769,FALSE
PR,2010,10599199,FALSE
RJ,2010,16061533,FALSE
RN,2010,3168056,FALSE
RO,2010,1540176,FALSE
RR,2010,440828,FALSE
RS,2010,10823449,FALSE
SC,2010,6217824,FALSE
SE,2010,2054731,FALSE
SP,2010,41485466,FALSE
TO,2010,1346432,FALSE
AC,2011,746375,TRUE
AL,2011,3143338,TRUE
AM,2011,3538359,TRUE
AP,2011,684301,TRUE
BA,2011,14097333,TRUE
CE,2011,8530058,TRUE
DF,2011,2609997,TRUE
ES,2011,3547013,TRUE
GO,2011,6080588,TRUE
MA,2011,6645665,TRUE
MG,2011,19728252,TRUE
MS,2011,2477504,TRUE
MT,2011,3075862,TRUE
PA,2011,7688531,TRUE
PB,2011,3791200,TRUE
PE,2011,8864803,TRUE
PI,2011,3140213,TRUE
PR,2011,10512151,TRUE
RJ,2011,16112637,TRUE
RN,2011,3198572,TRUE
RO,2011,1576423,TRUE
RR,2011,460157,TRUE
RS,2011,10732770,TRUE
SC,2011,6316906,TRUE
SE,2011,2089783,TRUE
SP,2011,41586892,TRUE
TO,2011,1400813,TRUE
AC,2012,758786,TRUE
AL,2012,3165472,TRUE
AM,2012,3590985,TRUE
AP,2012,698602,TRUE
BA,2012,14175341,TRUE
