CD_MUN,SIGLA_UF,year,pop_est
1100015,RO,2007,23857
1100015,RO,2008,24577
1100015,RO,2009,24354
1100015,RO,2010,24392
1100015,RO,2011,24228
1100015,RO,2012,24069
1100015,RO,2013,25728
1100015,RO,2014,25652
1100015,RO,2015,25578
1100015,RO,2016,25506
1100015,RO,2017,25437
1100015,RO,2018,23167
1100015,RO,2019,22945
1100015,RO,2020,22728
1100015,RO,2021,22516
1100015,RO,2022,21494
1100015,RO,2024,22853
1100015,RO,2025,22787
1100023,RO,2007,82388
1100023,RO,2008,84581
1100023,RO,2009,85541
1100023,RO,2010,90353
1100023,RO,2011,91570
1100023,RO,2012,92747
1100023,RO,2013,101269
1100023,RO,2014,102860
1100023,RO,2015,104401
1100023,RO,2016,105896
1100023,RO,2017,107345
1100023,RO,2018,106168
1100023,RO,2019,107863
1100023,RO,2020,109523
1100023,RO,2021,111148
1100023,RO,2022,96833
1100023,RO,2024,108573
1100023,RO,2025,109170
1100031,RO,2007,6575
1100031,RO,2008,6777
1100031,RO,2009,6695
1100031,RO,2010,6313
1100031,RO,2011,6221
1100031,RO,2012,6132
1100031,RO,2013,6495
1100031,RO,2014,6424
1100031,RO,2015,6355
1100031,RO,2016,6289
1100031,RO,2017,6224
1100031,RO,2018,5438
1100031,RO,2019,5312
1100031,RO,2020,5188
1100031,RO,2021,5067
1100031,RO,2022,5351
1100031,RO,2024,5690
1100031,RO,2025,5664
1100049,RO,2007,76155
1100049,RO,2008,78263
1100049,RO,2009,78675
1100049,RO,2010,78574
1100049,RO,2011,78958
1100049,RO,2012,79330
1100049,RO,2013,85863
1100049,RO,2014,86556
1100049,RO,2015,87226
1100049,RO,2016,87877
1100049,RO,2017,88507
1100049,RO,2018,84813
1100049,RO,2019,85359
1100049,RO,2020,85893
1100049,RO,2021,86416
1100049,RO,2022,86887
1100049,RO,2024,97637
1100049,RO,2025,98280
1100056,RO,2007,16290
1100056,RO,2008,16784
1100056,RO,2009,16622
1100056,RO,2010,17029
1100056,RO,2011,16939
1100056,RO,2012,16852
1100056,RO,2013,18041
1100056,RO,2014,18013
1100056,RO,2015,17986
1100056,RO,2016,17959
1100056,RO,2017,17934
1100056,RO,2018,16444
1100056,RO,2019,16323
1100056,RO,2020,16204
1100056,RO,2021,16088
1100056,RO,2022,15890
1100056,RO,2024,16975
1100056,RO,2025,16966
1100064,RO,2007,17644
1100064,RO,2008,18216
1100064,RO,2009,17822
1100064,RO,2010,18591
1100064,RO,2011,18338
1100064,RO,2012,18093
1100064,RO,2013,19190
1100064,RO,2014,19001
1100064,RO,2015,18817
1100064,RO,2016,18639
1100064,RO,2017,18467
1100064,RO,2018,16227
1100064,RO,2019,15882
1100064,RO,2020,15544
1100064,RO,2021,15213
