"site_id","name","state","climreg","lon","lat","year","month","date","tmin_c","tmax_c","prec_mm"
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,1,"2007-01-01",23,32,152.243743896484
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,1,"2007-01-01",21,29.875,428.600006103516
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,1,"2007-01-01",24,32,33.7933349609375
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,1,"2007-01-01",21.5625,30.5,146.21875
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,1,"2007-01-01",20.3125,34.0625,23.78125
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,1,"2007-01-01",18.125,25.125,329.106262207031
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,1,"2007-01-01",20.875,31.1875,218.956253051758
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,1,"2007-01-01",17.9375,27.3125,422.399993896484
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,2,"2007-02-01",22,30.75,400.100006103516
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,2,"2007-02-01",20,30.875,184.225006103516
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,2,"2007-02-01",23.9333324432373,30,357.040008544922
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,2,"2007-02-01",20.8125,28.5625,462.424987792969
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,2,"2007-02-01",21,32,222.081253051758
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,2,"2007-02-01",18,27.4375,181.774993896484
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,2,"2007-02-01",21,30.875,150.787506103516
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,2,"2007-02-01",17.25,28.3125,130.28125
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,3,"2007-03-01",22,31,463.918762207031
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,3,"2007-03-01",20,32.5625,77.9499969482422
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,3,"2007-03-01",23.466667175293,30.0666675567627,271.640014648438
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,3,"2007-03-01",21.4375,30.25,143.449996948242
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,3,"2007-03-01",21,31.875,59.0187492370605
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,3,"2007-03-01",17.1875,28.1875,94.5500030517578
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,3,"2007-03-01",20.1875,32.8125,41.9437484741211
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,3,"2007-03-01",17.5,29.6875,68.7687530517578
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,4,"2007-04-01",22.4375,31,411.037506103516
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,4,"2007-04-01",20,31,75.875
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,4,"2007-04-01",23,30,321.286682128906
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,4,"2007-04-01",21.5,30.75,198.381256103516
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,4,"2007-04-01",20,32,50.0999984741211
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,4,"2007-04-01",16.125,25.5625,87
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,4,"2007-04-01",19.4375,30.875,67.9312515258789
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,4,"2007-04-01",16.375,28.0625,80.0250015258789
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,5,"2007-05-01",23,31.5,200.768753051758
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,5,"2007-05-01",14,26,83.5187530517578
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,5,"2007-05-01",23,30,151.679992675781
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,5,"2007-05-01",20.625,32.5,96.1937484741211
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,5,"2007-05-01",20,30.8125,18.2374992370605
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,5,"2007-05-01",12,22,59.59375
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,5,"2007-05-01",16,29,17.8624992370605
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,5,"2007-05-01",13,26,11.375
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,6,"2007-06-01",22.75,32.4375,141.46875
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,6,"2007-06-01",14,28.4375,2.29999995231628
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,6,"2007-06-01",22.0666675567627,29.9333324432373,112.386665344238
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,6,"2007-06-01",19.5,33.1875,13.4312496185303
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,6,"2007-06-01",18,29.8125,6.84375
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,6,"2007-06-01",11,23,25.0249996185303
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,6,"2007-06-01",14.125,28.625,4.13749980926514
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,6,"2007-06-01",11.75,25.8125,4.5
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,7,"2007-07-01",23,32.5,86.625
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,7,"2007-07-01",12,25.8125,50.9249992370605
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,7,"2007-07-01",22,30.3333339691162,18.2333335876465
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,7,"2007-07-01",19.5,33.75,2.94374990463257
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,7,"2007-07-01",18,29.875,2.79374980926514
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,7,"2007-07-01",10.1875,20.875,103.75
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,7,"2007-07-01",14.5625,28.1875,5.73124980926514
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,7,"2007-07-01",12.25,25.25,10.7624998092651
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,8,"2007-08-01",23,32.875,73.5687484741211
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,8,"2007-08-01",14.0625,28.8125,14.3062496185303
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,8,"2007-08-01",22,30,3.74666666984558
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,8,"2007-08-01",19.625,35.5,24.65625
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,8,"2007-08-01",18,30.375,2.78125
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,8,"2007-08-01",11.125,23,16.3125
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,8,"2007-08-01",15.375,28.8125,6.39375019073486
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,8,"2007-08-01",12.25,26.5,0.956250011920929
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,9,"2007-09-01",23,33,24.5499992370605
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,9,"2007-09-01",18.8125,33.875,7.13124990463257
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,9,"2007-09-01",22.1333332061768,30,5.8066668510437
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,9,"2007-09-01",20.5,35.1875,48.7750015258789
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,9,"2007-09-01",19,32,1.81875002384186
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,9,"2007-09-01",13,25.25,23.21875
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,9,"2007-09-01",18.0625,30.5,10.8937501907349
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,9,"2007-09-01",14.5,28.6875,5.61250019073486
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,10,"2007-10-01",23,32.9375,77.6125030517578
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,10,"2007-10-01",19,31.5,74.7375030517578
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,10,"2007-10-01",22.9333324432373,31,5.8600001335144
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,10,"2007-10-01",20.9375,33.4375,94.21875
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,10,"2007-10-01",20,34.5,2.36249995231628
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,10,"2007-10-01",14.875,26.125,107.443748474121
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,10,"2007-10-01",19.3125,32,39.7062492370605
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,10,"2007-10-01",16.75,29.6875,88.6374969482422
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,11,"2007-11-01",23,32,44.6624984741211
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,11,"2007-11-01",18.6875,31,160.706253051758
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,11,"2007-11-01",23.9333324432373,31.8666667938232,4.67333316802979
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,11,"2007-11-01",20.9375,31.5,124.074996948242
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,11,"2007-11-01",20.1875,34.4375,30.5562496185303
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,11,"2007-11-01",15.1875,24.625,193.768753051758
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,11,"2007-11-01",19.8125,30.9375,116.868751525879
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,11,"2007-11-01",17,27.8125,152.018753051758
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2007,12,"2007-12-01",23,32,263.456237792969
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2007,12,"2007-12-01",19.875,31.875,144.506256103516
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2007,12,"2007-12-01",24,31.3333339691162,41.4133338928223
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2007,12,"2007-12-01",20.9375,30.5,134.4375
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2007,12,"2007-12-01",20,33.75,37.2999992370605
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2007,12,"2007-12-01",17,27,183.268753051758
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2007,12,"2007-12-01",20,32,122.862503051758
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2007,12,"2007-12-01",17.75,28.375,221.28125
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,1,"2008-01-01",22,30,358.4375
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,1,"2008-01-01",20,30,290.84375
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,1,"2008-01-01",24,30.7999992370605,154.553329467773
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,1,"2008-01-01",21.125,29.3125,293
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,1,"2008-01-01",20,33.125,28.125
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,1,"2008-01-01",17,25.125,275.4375
